episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.7165717530000393,True,False
2,460.0,702,1087,0.2,0.025979158280692485,2.1412656600000446,True,False
3,430.0,506,1593,0.2,0.027946402386149875,4.6534106990000055,True,False
4,380.0,514,2107,0.2,0.026270802440649277,6.638465333999989,True,False
5,180.0,443,2550,0.2,0.02814315636023493,8.367692659999989,True,False
6,330.0,374,2924,0.2,0.026167825151710435,10.280180506000079,True,False
7,560.0,562,3486,0.2,0.030483945179314884,12.929471224000054,True,False
8,1630.0,921,4407,0.2,0.032199869639842525,16.367402886000036,True,False
9,730.0,637,5044,0.2,0.03282766892007203,18.847938440000007,True,False
10,730.0,666,5710,0.2,0.03556996923226145,21.40279981499998,True,False
11,380.0,531,6241,0.2,0.042668184091309014,24.079149932000064,True,False
12,500.0,557,6798,0.2,0.04081059218947139,26.450384962000044,True,False
13,440.0,536,7334,0.2,0.04037361127088097,28.548108444000036,True,False
14,900.0,794,8128,0.2,0.04440706510953231,31.549522808000006,True,False
15,430.0,558,8686,0.2,0.04013754117215494,33.694249090000085,True,False
16,1040.0,753,9439,0.2,0.04124732626641684,37.27438264400007,True,False
17,510.0,558,9997,0.2,0.038550310543671786,39.563362873000074,True,False
18,550.0,576,10573,0.2,0.04251318394219399,41.799130589000015,True,False
19,410.0,517,11090,0.2,0.04320121768594885,43.83127399300008,True,False
20,770.0,771,11861,0.2,0.0444351760091482,46.74590883500002,True,False
21,670.0,925,12786,0.2,0.04533086622988571,50.979011076999996,True,False
22,820.0,547,13333,0.2,0.04336662957509368,53.09984986699999,True,False
23,330.0,397,13730,0.2,0.046541021497111125,54.67313343400008,True,False
24,370.0,418,14148,0.2,0.04240694046463995,56.35514605399999,True,False
25,460.0,624,14772,0.2,0.0495972650585314,58.739899698000045,True,False
26,530.0,599,15371,0.2,0.047791081083775964,64.15400652100004,True,False
27,580.0,576,15947,0.2,0.046048376643739175,66.39359990800006,True,False
28,550.0,492,16439,0.2,0.04930600121132726,68.32035070400013,True,False
29,480.0,542,16981,0.2,0.04874468584517565,70.41237467300004,True,False
30,1120.0,983,17964,0.2,0.05166391508059379,74.26890967299994,True,False
31,540.0,512,18476,0.2,0.05624591514788335,76.9692079780001,True,False
32,1190.0,821,19297,0.2,0.05357084701791769,80.03602726099996,True,False
33,1540.0,1092,20389,0.2,0.05674399740843873,84.08425065199992,True,False
34,440.0,367,20756,0.2,0.05674859458256675,85.95890612799997,True,False
35,1690.0,694,21450,0.2,0.06182987570784168,90.40274887399994,True,False
36,520.0,585,22035,0.2,0.06151258129600997,92.64605215300014,True,False
37,270.0,424,22459,0.2,0.061209938822771016,94.33711892500003,True,False
38,430.0,678,23137,0.2,0.05820198315195739,96.98484080500009,True,False
39,900.0,640,23777,0.2,0.05633629136136733,99.48333531500009,True,False
40,410.0,739,24516,0.2,0.06138469234008241,103.09088079500009,True,False
41,880.0,646,25162,0.2,0.05953809759082122,105.55711107500008,True,False
42,590.0,638,25800,0.2,0.06545314642135054,108.05439207799998,True,False
43,880.0,808,26608,0.2,0.05909815659322361,111.08338852100007,True,False
44,620.0,650,27258,0.2,0.05816444978520366,113.78489937500001,True,False
45,520.0,453,27711,0.2,0.05754275463389612,116.20576387900007,True,False
46,780.0,810,28521,0.2,0.06010123182161541,119.23904030999995,True,False
47,400.0,577,29098,0.2,0.054164017592686124,121.48144166600002,True,False
48,450.0,499,29597,0.2,0.06775736095011234,123.44856745000004,True,False
49,420.0,448,30045,0.2,0.06795958860311657,125.26078042000006,True,False
50,520.0,495,30540,0.2,0.06410833648706396,127.75446913100006,True,False
51,390.0,471,31011,0.2,0.06659489042229122,132.0965719950001,True,False
52,940.0,644,31655,0.2,0.07236545982984652,134.54296757200007,True,False
53,700.0,728,32383,0.2,0.07670316760489655,137.32702312000004,True,False
54,900.0,755,33138,0.2,0.08089114701444353,140.71352179999997,True,False
55,1060.0,890,34028,0.2,0.07459465342035074,144.40916133500002,True,False
56,480.0,662,34690,0.2,0.07642739878854517,146.97119167300013,True,False
57,520.0,567,35257,0.2,0.06953430150202672,149.17224166500012,True,False
58,680.0,651,35908,0.2,0.0732172180875633,151.71904312499998,True,False
59,840.0,724,36632,0.2,0.08045353386448233,155.31438480600002,True,False
60,640.0,667,37299,0.2,0.07636683646881257,157.85714780599994,True,False
61,820.0,745,38044,0.2,0.07366139439736458,160.71193949399992,True,False
62,1410.0,844,38888,0.2,0.07259604517123287,163.91671619300007,True,False
63,620.0,496,39384,0.2,0.07778128053271963,166.2647793540001,True,False
64,1180.0,887,40271,0.2,0.08469017522991108,170.06531303300005,True,False
65,210.0,301,40572,0.2,0.07687225168276775,171.31172668700003,True,False
66,740.0,732,41304,0.2,0.07433701777077519,174.092422759,True,False
67,1190.0,792,42096,0.2,0.0855871107749114,177.0907239080001,True,False
68,610.0,502,42598,0.2,0.07727410687506199,179.49160188200005,True,False
69,400.0,447,43045,0.2,0.08396385034679302,181.65204284100002,True,False
70,450.0,417,43462,0.2,0.07360131126971772,183.29464708700004,True,False
71,1380.0,837,44299,0.2,0.08484236502119799,186.45199362000005,True,False
72,560.0,475,44774,0.2,0.07929334632207115,188.32587318999992,True,False
73,620.0,738,45512,0.2,0.08244034067249378,191.31750155600014,True,False
74,1300.0,763,46275,0.2,0.0767075989444397,194.895497203,True,False
75,1750.0,856,47131,0.2,0.07606105077315435,198.10600449900005,True,False
76,1160.0,675,47806,0.2,0.0854038412533921,202.81187031499996,True,False
77,1290.0,841,48647,0.2,0.08090137373212547,206.73781824000014,True,False
78,1220.0,949,49596,0.2,0.07760310692697012,210.26094711000007,True,False
79,1880.0,965,50561,0.2,0.085652473289906,213.85954175199993,True,False
80,2120.0,720,51281,0.2,0.07800610616492729,216.570696763,True,False
81,830.0,632,51913,0.2,0.08234415270529594,219.79993310800012,True,False
82,410.0,459,52372,0.2,0.0855962902955387,221.61074073099996,True,False
83,550.0,594,52966,0.2,0.07824733001305847,223.90374863499994,True,False
84,1940.0,995,53961,0.2,0.07994128334668865,227.59519443600004,True,False
85,770.0,640,54601,0.2,0.07635594396851957,230.221240383,True,False
86,460.0,535,55136,0.2,0.07794071282190618,233.00245994199997,True,False
87,580.0,458,55594,0.2,0.09059916303509422,234.776501122,True,False
88,680.0,573,56167,0.2,0.10009655052913236,236.98095035900008,True,False
89,340.0,391,56558,0.2,0.08947733063630912,238.55167976600012,True,False
90,410.0,449,57007,0.2,0.0863407200335392,240.31914291400005,True,False
91,560.0,462,57469,0.2,0.11047607003550591,242.1188302050001,True,False
92,1000.0,739,58208,0.2,0.10000053093944852,245.67737020100014,True,False
93,270.0,332,58540,0.2,0.09772836273334112,247.02188270499994,True,False
94,1090.0,829,59369,0.2,0.1024241533652308,250.10398042300005,True,False
95,510.0,424,59793,0.2,0.09878709407980149,251.82107102099997,True,False
96,280.0,343,60136,0.2,0.1022276784141743,253.22442715800014,True,False
97,640.0,657,60793,0.2,0.1265395451791403,255.88237615600008,True,False
98,320.0,472,61265,0.2,0.10587074281647801,258.50107872399997,True,False
99,810.0,607,61872,0.2,0.12260447096961893,260.87706392000007,True,False
100,200.0,379,62251,0.2,0.11634099994726638,262.40997832899996,True,False
